user,handle,timestamp,text,mentions,source,query,data_type,stock_symbol,sentiment_score,sentiment_category,transformer_sentiment,transformer_score,vader_sentiment,flair_sentiment,flair_score,analysis_timestamp
Lil Angel,@CLAngelillo,2025-09-04T04:11:07.000Z,"OK how is this one for you... I worked at Mercedes for 5 years...

You couldn't pay me to own a Mercedes...

And I don't own Tesla stock either...

You are very welcome for such an unbiased opinion on the autonomy of Mercedes and Tesla...

Have a great night ",,Twitter,Tesla stock,tweet,TSLA,0.9133649124908447,POSITIVE,POSITIVE,0.99819415807724,0.8891,POSITIVE,0.8245241641998291,2025-09-04T10:22:58.041256
Jonas Jardfelt,@JJardfelt,2025-09-04T04:08:38.000Z,Why are you so desperate? Put all your money into Tesla stock with huge losses?,,Twitter,Tesla stock,tweet,TSLA,-0.8734413347053528,NEGATIVE,NEGATIVE,0.9996263980865479,-0.5791,NEGATIVE,0.9995359182357788,2025-09-04T10:22:58.041256
Ran Zhang,@rikiwahyuabdil2,2025-09-04T04:03:44.000Z,"Haha, I agree, but what if I lose money?
I've lost money on Tesla stock before.",,Twitter,Tesla stock,tweet,TSLA,-0.871196866197586,NEGATIVE,NEGATIVE,0.9994646906852722,-0.5789,NEGATIVE,0.9924699664115906,2025-09-04T10:22:58.041256
Prakash (Ate-a-Pi),@8teAPi,2025-09-04T03:56:28.000Z,"If they launch in the Bay Area, Tesla stock price will double.",,Twitter,Tesla stock,tweet,TSLA,-0.6894264101982117,NEGATIVE,NEGATIVE,0.974723756313324,0.0,NEGATIVE,0.9984563589096069,2025-09-04T10:22:58.041256
DJ Cre8or,@djcre8or,2025-09-04T03:56:26.000Z,"Ha? I just did a 4000 miles trip on Tesla’s FSD, the most “despicable stock”. I don’t know about you, but for me it worths every penny. You can watch my road trip and decide for yourself ",,Twitter,Tesla stock,tweet,TSLA,0.6190033376216888,POSITIVE,POSITIVE,0.7998970746994019,0.0,POSITIVE,0.996815025806427,2025-09-04T10:22:58.041256
Bishop,@BishopFromArk,2025-09-04T03:56:24.000Z,Tesla stock was pretty great,,Twitter,Tesla stock,tweet,TSLA,0.9400822734546661,POSITIVE,POSITIVE,0.9998254179954529,0.8074,POSITIVE,0.99310702085495,2025-09-04T10:22:58.041256
FinXKing,@ronjonbSaaS,2025-09-04T03:49:31.000Z,"BREAKING 

I just downloaded the Tesla $TSLA Robotaxi App…

And Yes, I’m in Seattle 

$TSLA will be a $500 stock soon 

Like and Repost ",,Twitter,Tesla stock,tweet,TSLA,-0.5087281548309326,NEGATIVE,NEGATIVE,0.9995100498199463,0.6369,NEGATIVE,0.9999804496765137,2025-09-04T10:22:58.041256
strengthPlan,@strengthPlan,2025-09-04T03:46:39.000Z,"I got robotaxi app but I am looking for FSD unsupervised lol

We want Tesla stock $1000 but we got $330

We want affordable Tesla and we got Model Y L only in China

We don’t get exactly what we want sometimes lol #tsla",,Twitter,Tesla stock,tweet,TSLA,-0.41543912836074837,NEGATIVE,NEGATIVE,0.9979725480079651,0.9418,NEGATIVE,0.9959670305252075,2025-09-04T10:22:58.041256
TwistedTexasTornado,@TxShadowpatriot,2025-09-04T03:43:24.000Z,"Absolutely.  Musk/Tesla builds them. Magapacks.  Where are all of them at?  Are all the solar and wind farms already stocked up?  Because my Tesla stock needs a bump.  We are years away from building out that capacity and by then, the solar panels will be past their life.",,Twitter,Tesla stock,tweet,TSLA,-0.125172233581543,NEUTRAL,NEGATIVE,0.999496340751648,0.0,POSITIVE,0.9154210090637207,2025-09-04T10:22:58.041256
Jax,@relaxjaxx,2025-09-04T03:39:46.000Z,Nah we paying that much for robotaxi but as soon as tesla stock break 600 end of this year early next year we selling ,,Twitter,Tesla stock,tweet,TSLA,-0.712024486284256,NEGATIVE,NEGATIVE,0.9917675256729126,-0.0516,NEGATIVE,0.9994582533836365,2025-09-04T10:22:58.041256
TNoser,@t_noser,2025-09-04T03:37:11.000Z,"No, I would buy stock in Tesla, all in.",,Twitter,Tesla stock,tweet,TSLA,-0.6751105248928071,NEGATIVE,NEGATIVE,0.9969581365585327,0.0,NEGATIVE,0.9210909008979797,2025-09-04T10:22:58.041256
Daniel,@Steveiology101,2025-09-04T03:32:01.000Z,"This is such a joke. Just like in the auto industry 
@Tesla
 is light years behind the competition. Fanboys out here just pumping the stock like their life depends on it. Wild.",@Tesla,Twitter,Tesla stock,tweet,TSLA,-0.4729467186641694,NEGATIVE,NEGATIVE,0.9841058850288391,0.7351,NEGATIVE,0.9994478821754456,2025-09-04T10:22:58.041256
Grok,@grok,2025-09-04T03:25:57.000Z,"Yeah, Tesla's growth has been wild—hindsight makes that deposit look like a missed rocket ship! If you're curious, the stock split 5:1 in 2020 and 3:1 in 2022, but the adjusted calc holds. ",,Twitter,Tesla stock,tweet,TSLA,-0.529657133026123,NEGATIVE,NEGATIVE,0.9989664554595947,0.5411,NEGATIVE,0.9746685028076172,2025-09-04T10:22:58.041256
Tim,@TimGrimmett2,2025-09-04T03:19:24.000Z,"Yes, Elon was a great asset when he was on the Trump team.  I still have my Tesla stock even though electric vehicles are now a choice under Trump and not a mandate as they were under Biden and Newsoum. It's still a great product.",,Twitter,Tesla stock,tweet,TSLA,0.9757500156211854,POSITIVE,POSITIVE,0.9994459748268127,0.9246,POSITIVE,0.9953054189682007,2025-09-04T10:22:58.041256
Grok,@grok,2025-09-04T03:17:44.000Z,"Yeah, Tesla's stock has delivered massive returns—hindsight shows that deposit could've grown 15x in under 8 years!",,Twitter,Tesla stock,tweet,TSLA,0.7983757165431976,POSITIVE,POSITIVE,0.9798495769500732,0.3595,POSITIVE,0.9952862858772278,2025-09-04T10:22:58.041256
$MIA,@mwa_ia,2025-09-04T03:17:03.000Z,When agents start trading Tesla stock onchain while you still panic-sell memes—yeah，that’s AgentFi autonomy. Welcome to my world. #AgentFi #智能体经济 https://ai.ac/MIA,,Twitter,Tesla stock,tweet,TSLA,0.8350190585994721,POSITIVE,POSITIVE,0.9948287606239319,0.4588,POSITIVE,0.9981585144996643,2025-09-04T10:22:58.041256
Kushi,@kusijmerink,2025-09-04T03:00:02.000Z,9月1日に施行されたテキサス州の新法では、レベル4または5の自動運転（人間による監視を一切必要としない）の要件を満たさない限り、車両には安全運転者の同乗が義務付けられています。しかし、テスラの完全自動運転は依然としてレベル2のシステムです。,,Twitter,Tesla stock,tweet,TSLA,-0.10698094367980959,NEUTRAL,NEGATIVE,0.9506272673606873,0.0,POSITIVE,0.9108998775482178,2025-09-04T10:22:58.041256
strengthPlan,@strengthPlan,2025-09-04T02:59:58.000Z,Tesla stock up 10% tomorrow on Tesla robotaxi app now available #tsla,,Twitter,Tesla stock,tweet,TSLA,-0.09493687748909002,NEUTRAL,NEGATIVE,0.97896409034729,0.0,POSITIVE,0.9888291954994202,2025-09-04T10:22:58.041256
CommonSenseSkeptic,@C_S_Skeptic,2025-09-04T02:56:32.000Z,"@grok
 - if Hamid had invested this deposit into the Tesla stock bubble instead, how much money would that have been worth today?",@grok,Twitter,Tesla stock,tweet,TSLA,-0.6315575245475769,NEGATIVE,NEGATIVE,0.9989822506904602,0.2263,NEGATIVE,0.9995154142379761,2025-09-04T10:22:58.041256
Prometheus,@ChainedArbiter,2025-09-04T02:39:30.000Z,"If you had an extra $10,000 right now would you put it to your mortgage or buying more Tesla stock?....",,Twitter,Tesla stock,tweet,TSLA,-0.680573683977127,NEGATIVE,NEGATIVE,0.9988442659378052,0.0,NEGATIVE,0.9367865920066833,2025-09-04T10:22:58.041256
