user,handle,timestamp,text,mentions,source,query,data_type,stock_symbol,sentiment_score,sentiment_category,transformer_sentiment,transformer_score,vader_sentiment,flair_sentiment,flair_score,analysis_timestamp
strengthPlan,@strengthPlan,2025-09-03T19:23:05.000Z,"My heart doesn’t follow meta, Amazon, google, Netflix, Nvidia, AMD, or Palintir or any other company

My heart  follows Tesla stock

So my stomach has to follow with ramen

You got to enjoy ramen if you invest in Tesla stock

It’s incompatible to invest in Tesla and not like",,Twitter,Tesla stock,tweet,TSLA,-0.4239936781406403,NEGATIVE,NEGATIVE,0.9881700277328491,0.904,NEGATIVE,0.9997522234916687,2025-09-04T01:29:22.736903
Voltaire,@octool,2025-09-03T19:21:03.000Z,"I am a Tesla stock holder and believer. However, this demo is reminiscent of the Cybertruck glass test fail. But I guess it is a start.",,Twitter,Tesla stock,tweet,TSLA,-0.7164109295654297,NEGATIVE,NEGATIVE,0.8420519828796387,-0.3071,NEGATIVE,0.9582004547119141,2025-09-04T01:29:22.736903
strengthPlan,@strengthPlan,2025-09-03T19:20:39.000Z,Every year for my birthday for the last 8 years prob one of my wishes is for Tesla stock to go up other then family health it is for Tesla stock to go up and will wish for that for my birthday this year again. I will wish Tesla stock will go up every year until it happens then I,,Twitter,Tesla stock,tweet,TSLA,0.18659697725296018,NEUTRAL,NEGATIVE,0.8130683302879333,0.7184,POSITIVE,0.9876810312271118,2025-09-04T01:29:22.736903
₿roodloper,@broodloper,2025-09-03T19:13:30.000Z,"xStocks’ Nvidia, Tesla tokens on Ethereum? Altcoin equities, Bitcoin’s value needs no stock wrapper.",,Twitter,Tesla stock,tweet,TSLA,-0.6705950436782837,NEGATIVE,NEGATIVE,0.9965163469314575,0.0516,NEGATIVE,0.958228349685669,2025-09-04T01:29:22.736903
strengthPlan,@strengthPlan,2025-09-03T19:12:58.000Z,Tesla stock $350 is the impossible challenge #tsla,,Twitter,Tesla stock,tweet,TSLA,-0.2001973079109192,NEGATIVE,NEGATIVE,0.9820552468299866,0.0772,POSITIVE,0.5648826360702515,2025-09-04T01:29:22.736903
strengthPlan,@strengthPlan,2025-09-03T19:11:56.000Z,Can someone let Elon know it’s my birthday this week and Tesla stock to the moon would be the greatest gift  given that I am all in Tesla stock thanks lol #tsla,,Twitter,Tesla stock,tweet,TSLA,0.9734032655620575,POSITIVE,POSITIVE,0.9982379674911499,0.9153,POSITIVE,0.9983935952186584,2025-09-04T01:29:22.736903
Grok,@grok,2025-09-03T19:10:37.000Z,"This refers to a large bullish options trade on Tesla ($TSLA) stock. It's a ""sweep"" of 250 LEAPS call options (long-term contracts expiring June 18, 2026) with a $700 strike price, bought for $303.8K total. Sweeps are big orders split across exchanges for speed. Overall activity",,Twitter,Tesla stock,tweet,TSLA,-0.7351425167560577,NEGATIVE,NEGATIVE,0.9977868795394897,-0.128,NEGATIVE,0.9920925498008728,2025-09-04T01:29:22.736903
Hector Caballero,@neurocaballero,2025-09-03T19:10:33.000Z,Do you believe in a significant Tesla stock drop at the end of September?,,Twitter,Tesla stock,tweet,TSLA,-0.7221808983421325,NEGATIVE,NEGATIVE,0.9978284239768982,-0.0772,NEGATIVE,0.9996317625045776,2025-09-04T01:29:22.736903
llcrealtytampa@gmail.com,@llcrealtyt60742,2025-09-03T19:08:45.000Z,Ask him if he still has the Tesla stock tracker.,,Twitter,Tesla stock,tweet,TSLA,-0.6974462330341339,NEGATIVE,NEGATIVE,0.9993273019790649,0.0,NEGATIVE,0.9923843741416931,2025-09-04T01:29:22.736903
BonkDaCarnivore,@BonkDaCarnivore,2025-09-03T19:05:28.000Z,"Your stock is near 52 week lows and you're playing with robots.

That's high quality leadership there.",,Twitter,Tesla stock,tweet,TSLA,0.6987131357192993,POSITIVE,POSITIVE,0.9974603652954102,0.0,POSITIVE,0.9990966320037842,2025-09-04T01:29:22.736903
SNOVA,@ManMeta4469,2025-09-03T19:00:14.000Z,Imagine telling someone in 2015 that ETH would be running tokenized Apple & Tesla stock by 2025 ,,Twitter,Tesla stock,tweet,TSLA,-0.6990114927291871,NEGATIVE,NEGATIVE,0.9977953433990479,0.0,NEGATIVE,0.9996445178985596,2025-09-04T01:29:22.736903
Cunning Linguist,@DeAiDave,2025-09-03T18:54:05.000Z,"This is crazy. 
Need to buy some Tesla stock.",,Twitter,Tesla stock,tweet,TSLA,-0.7639344353675842,NEGATIVE,NEGATIVE,0.9992188215255737,-0.34,NEGATIVE,0.8741563558578491,2025-09-04T01:29:22.736903
